m2,M
-2,21237.4
-1.92,-20755.3
-1.84,-20255.9
-1.76,19752.4
-1.68,19221.1
-1.6,-18669.7
-1.52,18113.9
-1.44,-17518.1
-1.36,-16907.6
-1.28,-16271.3
-1.2,-15607.9
-1.12,-14897.5
-1.04,14145.4
-0.96,13360.4
-0.88,12474.9
-0.8,11494.4
-0.72,-10424.8
-0.64,9112.71
-0.56,4301.29
-0.48,213.627
-0.4,-105.269
-0.32,-32.7415
-0.24,11.6473
-0.16,-49.6166
-0.08,8.49566
0,-46.0236
0.08,-31.3576
0.16,-3.977
0.24,-42.7381
0.32,-15.4254
0.4,-5.16948
0.48,14.3451
0.56,-13.7633
0.64,12.4539
0.72,-8.73075
0.8,-11.7285
0.88,4.87618
0.96,-1.05987
1.04,-16.3137
1.12,2.0892
1.2,-3.25457
1.28,-4.94302
1.36,9.89368
1.44,10.8502
1.52,4.36683
1.6,3.44192
1.68,-5.00725
1.76,-9.20907
1.84,5.84889
1.92,3.21435
